Peptide,Protein,Y
P20065,P51693,1
P20065,Q96ID5,1
P20065,Q5T3J3,1
P20065,Q04724,1
P20065,P04637,1
P40975,P22147,0
P40975,P23900,0
P40975,P37370,0
P34166,P39722,0
P34166,P39705,0
P34166,P04397,0
P34166,P38090,0
P34166,P38147,0
P34166,P38361,0
P34166,P25569,0
P34166,P22147,0
P34166,P53137,0
P34166,P53169,0
P34166,P42935,0
P34166,P38758,0
P34166,P12954,0
P34166,P47114,0
P34166,P53438,0
P34166,P04786,0
P34166,Q01926,0
P34166,P24720,0
P34166,Q08951,0
P34166,Q12529,0
P34166,Q02908,0
P34166,Q12194,0
P34166,Q06820,0
P34166,Q01454,0
P34166,P38147,0
P0ADB4,P39401,1
P0ADB7,P39396,0
P0ADB7,P13036,0
P0ADB4,P13036,1
P56976,P02943,0
P0ADB4,P0A6F3,0
P0ADB7,P0AAB4,0
P0ADB7,P27835,1
P0ADB7,P37653,0
P0ADB7,P18956,0
P0ADB4,P18956,1
P0ADB4,P07762,0
P56976,P07762,0
P56976,P0A6V1,0
P0ADB4,P13035,0
P0ADB7,P11557,0
P0ADB4,P11557,0
P56976,P11557,1
P56976,P45759,0
P0ADB7,P0AEC3,0
P56976,P0AEC3,0
P0ADB4,P0A749,1
P0ADB4,P0AAI3,1
P0ADB7,P76658,0
P0ADB4,P76658,1
P56976,P76658,1
P0ADB4,P23830,0
P0ADB7,P0A6B7,0
P0ADB7,P24177,0
P0ADB4,P24177,0
P0ADB7,P08839,1
P0ADB4,P08839,0
P0ADB4,P08192,1
P56976,P08192,1
P0ADB4,P0A9M8,0
P0ADB7,P0A6A3,0
P0ADB7,P13033,1
P0ADB4,P13033,0
P0ADB4,P0A9C0,0
P0ADB4,P76399,1
P56976,P76399,0
P0ADB7,P76387,1
P0ADB4,P76387,1
P0ADB7,P37748,0
P0ADB4,P77804,1
P0ADB7,P00946,0
P0ADB7,P76128,0
P0ADB7,P76085,0
P0ADB4,P76085,1
P56976,P0AB89,0
P56976,P75857,0
P0ADB7,P23930,1
P0ADB7,P10378,1
P56976,P10378,0
P0ADB7,P24077,0
P56976,P77211,1
P56976,P0ABI8,0
P0ADB4,P0AEH1,1
P56976,P06972,1
P0ADB7,P17952,1
P56976,P17952,1
P0ADB4,P11880,0
P0ADB4,P0ABZ6,1
P0ADB7,P31552,1
P56976,P31552,1
P0ADB7,P30143,1
P0ADB4,P30143,0
P0ADB7,P31224,1
P77091,P0A8N3,0
P77091,P00452,0
P77091,P45546,0
P77091,P23842,0
P77091,P08394,0
P76164,P0AD03,0
P77091,P75733,0
P76164,P33919,0
P77091,P75920,0
P77091,P22525,0
P76164,P46855,0
P77091,P04152,0
P76164,P33341,0
P77091,P33919,0
P77091,P04994,0
P76164,P45464,0
P77091,P0AA84,0
P77091,P0A8G0,0
P77091,P00914,1
P77091,P08957,1
P77091,P05824,1
P77091,P77611,1
P77091,P05719,1
P77091,P21189,1
P77091,P17952,1
P77091,P24230,1
P77091,P76224,1
P77091,P52097,1
P77091,P22188,1
P77091,P33924,1
P77091,P23909,1
P77091,P60293,1
P77091,P31806,1
P77091,P0AD03,1
P77091,P0A940,1
P77091,P78067,1
P77091,P75870,1
P77091,P0A749,1
P76164,P33924,1
P77091,P06612,1
P77091,P15042,1
P77091,P15005,1
P77091,Q46901,1
P77091,P22523,1
P77091,P07648,1
P77091,P0AG24,1
P77091,P76655,1
P77091,P25772,1
P77091,P00579,1
P77091,P32128,1
P77091,P0A9J0,1
P0A7Q6,P0CE47,0
P0A7Q6,P0A6M8,0
P0A7Q6,P06961,0
P0A7Q6,P46837,0
P0A7Q6,P0A8J8,0
Q3E820,P32896,0
Q3E778,P53742,0
Q3E781,P38170,0
Q3E781,P39079,0
Q3E781,P39940,0
Q3E781,P49687,0
Q3E781,Q03018,0
Q3E781,P46957,0
Q3E781,P46957,0
Q3E781,Q12460,1
Q3E781,P20424,0
Q3E7Z6,P06634,0
Q3E7Z3,P06101,1
Q3E837,Q03761,0
Q3E837,P53201,0
Q3E801,P09436,0
Q3E801,P38112,1
Q3E801,P38333,0
Q3E801,P43123,0
Q3E801,P43124,0
Q3E801,P43124,0
Q3E801,P32325,0
Q3E801,P40986,0
Q3E801,P39079,0
Q3E801,P21269,0
Q3E801,P30777,0
Q3E801,P53201,0
Q3E801,P32468,0
Q3E801,P29704,1
Q3E801,P38882,0
Q3E801,P40527,0
Q3E801,P40486,0
Q3E801,P40477,0
Q3E801,P32521,0
Q3E801,P40568,0
Q3E801,P46957,0
Q3E801,P47117,0
Q3E801,P15938,0
Q3E801,Q04636,1
Q3E801,P06634,0
Q3E801,P06634,0
Q3E801,P14906,0
Q3E801,P32333,1
Q8TGT2,P23293,0
P0CY04,P38198,0
P0CY04,P38198,0
P0CY04,P09436,0
P0CY04,P24583,0
P0CY04,P38261,0
P0CY04,P38112,1
P0CY04,Q12158,0
P0CY04,P43123,0
P0CY04,P43124,0
P0CY04,P43124,0
P0CY04,P32325,0
P0CY04,P40316,0
P0CY04,Q04601,0
P0CY04,Q03761,0
P0CY04,P05453,0
P0CY04,P38994,0
P0CY04,Q03782,0
P0CY04,P39007,0
P0CY04,P53201,0
P0CY04,P53313,0
P0CY04,P38770,0
P0CY04,P29704,1
P0CY04,P40527,0
P0CY04,P40486,0
P0CY04,P40477,0
P0CY04,P47037,0
P0CY04,P80428,1
P0CY04,P46957,0
P0CY04,P47117,1
P0CY04,P47122,0
P0CY04,P32458,0
P0CY04,P35201,1
P0CY04,Q07896,0
P0CY04,Q04673,1
P0CY04,Q12267,0
P0CY04,P54784,0
P0CY04,Q04636,1
P0CY04,P25298,0
P0CY04,P17555,0
P0CY04,P14906,1
P0CY04,P19524,0
P0CY04,P23293,0
P0CY04,P23293,0
P0CY04,P26309,0
Q3E732,Q12460,0
Q8TGS7,P11433,0
Q8TGS7,P11433,0
Q8TGS7,P38170,0
Q8TGS7,P24583,0
Q8TGS7,P38112,1
Q8TGS7,P19736,1
Q8TGS7,P43123,1
Q8TGS7,P43124,0
Q8TGS7,Q12018,0
Q8TGS7,P32325,0
Q8TGS7,P40970,0
Q8TGS7,P32896,1
Q8TGS7,Q04048,1
Q8TGS7,Q00684,0
Q8TGS7,P43609,1
Q8TGS7,P38770,0
Q8TGS7,P40486,0
Q8TGS7,P40460,1
Q8TGS7,P41543,0
Q8TGS7,P80428,0
Q8TGS7,Q04673,1
Q8TGS7,P19263,1
Q8TGS7,Q12460,1
Q8TGS7,Q12749,1
Q8TGS7,Q00416,0
Q8TGS7,Q03718,1
Q8TGS7,P54784,0
Q8TGS7,P50105,0
Q8TGS7,P13382,0
Q8TGS7,P53540,0
Q8TGS7,Q08204,0
Q8TGS7,P09032,0
Q8TGS7,Q02776,1
Q8TGS7,P23293,1
Q3E782,P11075,0
Q8TGS4,P06101,0
P0C271,Q05946,0
Q8TGJ2,P09436,0
Q8TGJ2,P38112,0
Q8TGJ2,Q03761,1
Q8TGJ2,P06101,0
Q8TGJ2,P06101,0
Q8TGJ2,P39940,0
Q8TGJ2,P39940,0
Q8TGJ2,P80428,0
Q8TGJ2,P14906,0
Q3E7Y7,Q03761,0
Q3E7Y7,P48837,0
Q3E7Y7,Q08162,0
Q8TGQ7,Q03782,0
Q8TGV0,P32828,0
P0C269,P32828,0
Q3E820,Q12508,0
Q3E820,P39970,0
Q3E820,P05374,0
Q3E820,P53973,0
Q3E820,P40850,0
Q99380,P18409,0
Q99380,P39717,0
Q99380,P39708,0
Q99380,P32790,0
Q99380,P38177,0
Q99380,P38090,0
Q99380,P38277,0
Q99380,P32909,0
Q99380,P13712,0
Q99380,Q99220,1
Q99380,P38954,0
Q99380,Q03281,0
Q99380,Q03370,0
Q99380,Q03388,0
Q99380,P39101,0
Q99380,P39966,0
Q99380,P40088,0
Q99380,Q01477,0
Q99380,P32657,1
Q99380,P16387,0
Q99380,P43574,0
Q99380,P43571,1
Q99380,P43554,0
Q99380,P53179,0
Q99380,P53154,0
Q99380,P53096,0
Q99380,P53083,0
Q99380,P53064,0
Q99380,P53246,0
Q99380,P33336,1
Q99380,P53338,0
Q99380,P40547,0
Q99380,P40533,0
Q99380,P40187,0
Q99380,P21672,0
Q99380,P40499,0
Q99380,P40433,0
Q99380,P40458,0
Q99380,P47075,0
Q99380,P46995,0
Q99380,P39531,0
Q99380,P40355,0
Q99380,P35210,0
Q99380,P36091,0
Q99380,P36084,0
Q99380,P32454,0
Q99380,P33753,0
Q99380,P36023,0
Q99380,P36172,0
Q99380,Q07834,0
Q99380,P54113,1
Q99380,P06169,0
Q99380,Q12509,0
Q99380,Q05785,0
Q99380,Q05787,1
Q99380,Q06178,0
Q99380,P37370,0
Q99380,P19880,0
Q99380,P05085,0
Q99380,P54730,1
Q99380,P0CF18,0
Q99380,Q04301,0
Q99380,P54074,0
Q99380,P39523,0
Q99380,P40218,0
Q99380,Q03648,0
Q99380,Q04781,0
Q99380,Q03262,0
Q99380,Q03263,0
Q99380,P22136,0
Q99380,Q04952,0
Q99380,P53983,0
Q99380,P53962,0
Q99380,P53953,0
Q99380,P12695,0
Q99380,P53938,0
Q99380,P48231,0
Q99380,P07213,0
Q99380,P53741,1
Q99380,Q08215,0
Q99380,P21182,0
Q99380,Q99247,0
Q99380,P22148,0
Q99380,Q12463,0
Q99380,P25036,0
Q99380,P32480,0
Q99380,P33894,0
Q99380,Q12276,0
Q99380,Q08750,0
Q99380,P24720,0
Q99380,P52960,0
Q99380,P23254,0
Q99380,P33335,0
Q3E7Z7,Q04399,0
Q3E789,P18480,0
Q3E818,Q12361,0
P0C1Z1,P40499,0
P40975,P47130,0
Q3E7B0,P47130,0
Q8TGU0,Q01448,0
Q8TGU1,P40499,0
Q8TGU1,Q03529,0
Q8TGU1,P53938,0
Q8TGU1,P06776,0
Q8TGT8,P31688,0
Q8TGT6,P32828,1
Q8TGT6,Q12202,0
Q3E737,Q04373,0
Q8TGT3,P43603,0
Q3E775,P25641,0
Q3E775,P32828,0
Q3E775,Q12038,0
Q3E7A0,P38147,0
Q3E813,Q12039,0
P0CY04,P21595,0
P0CY04,P32608,0
P0CY04,P53255,0
P0CY04,Q04233,0
P0CY04,P53973,0
P0CY04,P53938,0
P0CY04,P40850,0
Q3E732,P48412,0
Q8TGS6,P39101,0
Q8TGS6,P46995,0
Q3E7Y8,Q05948,0
Q3E7Y8,P06777,0
P80967,P47130,1
Q8TGQ7,P38344,0
Q8TGQ7,P18480,0
Q8TGQ7,Q03306,0
Q8TGQ7,P43560,0
Q3E741,P32783,0
Q3E741,P39079,0
Q3E741,P40527,0
Q3E741,Q12406,0
Q8TGV0,P40986,0
Q8TGV0,P53313,0
Q8TGV0,P32521,0
Q8TGV0,P47054,0
Q8TGV0,P15624,0
Q8TGV0,P11745,0
Q8TGV0,P40991,0
Q8TGV0,P11655,0
Q8TGV0,Q12024,0
Q8TGU8,P05453,0
Q8TGU8,P40986,0
Q8TGU8,P32776,0
Q8TGU8,Q04177,0
Q8TGU8,P40094,0
Q8TGU8,P53040,0
Q8TGU8,P53131,0
Q8TGU8,P35201,0
P0C269,P07834,0
P0C269,P53201,0
Q3E820,P24583,0
Q3E820,Q12377,0
Q3E820,P40970,0
Q3E820,Q04177,0
Q3E820,Q00684,0
Q3E820,P32468,0
Q3E820,P38826,0
Q3E820,P38882,0
Q3E820,P32521,0
Q3E820,P33299,0
Q3E820,Q06218,0
Q3E820,Q00416,0
Q3E820,Q04693,0
Q3E820,P25045,0
Q3E820,P40991,0
Q3E820,P53742,0
Q3E820,Q06103,0
Q3E778,P06101,0
Q3E778,P46957,0
Q3E778,P40991,0
Q3E778,P23293,0
Q3E781,P00549,0
Q3E781,P11433,0
Q3E781,P24583,0
Q3E781,Q99207,0
Q3E781,P32896,0
Q3E781,Q03195,0
Q3E781,P05453,0
Q3E781,P40986,0
Q3E781,Q03782,0
Q3E781,P40061,0
Q3E781,P39007,0
Q3E781,Q01939,0
Q3E781,P53040,0
Q3E781,P26309,0
Q3E781,P32468,0
Q3E781,P16522,0
Q3E781,P38875,0
Q3E781,P38882,0
Q3E781,P10363,0
Q3E781,P47026,0
Q3E781,P32458,0
Q3E781,P09798,0
Q3E781,P39012,0
Q3E781,Q12745,0
Q3E781,P41733,0
Q3E781,Q04636,0
Q3E781,P50105,0
Q3E781,Q04264,0
Q3E781,P13382,0
Q3E781,P53550,0
Q3E781,P11655,0
Q3E781,Q99383,0
Q3E781,P06634,0
Q8TGU5,P32896,0
Q8TGU5,P39940,0
