Peptide,Protein,Y
Q3E813,P47119,0
P34166,P32451,0
P56976,P0A7L8,1
P56976,P0AEE1,0
P0CY04,P38910,0
Q47272,P30014,0
P0CX86,Q12156,0
P56976,P0AFT8,0
P77091,P0A722,1
Q99380,Q12382,0
Q7TFA1,Q96LU5,1
A0A663DJA2,P30533,1
P34166,P0CX36,0
P0CY04,Q99190,0
Q47272,P77692,1
P0ADB4,P0AAG0,0
Q3E843,P36007,0
P0A7Q6,P0ADR6,0
Q47272,P0A6D7,1
P76164,P15770,0
Q8TGQ7,P50110,0
Q3E732,P32339,0
P37305,P0ABE2,0
Q8TGU1,P38930,0
P0ADB4,P07330,0
Q99380,P25587,0
P56976,P76027,0
Q8TGU8,P47089,0
P77091,P29131,1
P37305,Q46899,0
Q99380,Q3E846,0
A0A663DJA2,P00403,1
Q3E813,Q03482,0
P0ADB7,P77717,0
Q8TGS7,P25385,0
Q99380,P46964,0
Q8TGJ2,Q05541,0
Q8TGT2,Q12127,0
P0ADB4,P0ACC3,1
P0ADB7,P10100,0
P0CY04,Q06328,0
P0CX86,P05744,1
Q3E801,P36160,0
Q6BF25,P37642,0
P77091,P69428,1
Q3E801,P38782,0
Q99380,P38011,0
Q3E808,Q04307,0
Q3E801,P38242,0
Q8TGS2,P38063,0
P77091,P64490,1
P0A7Q6,P0A9A6,0
P56976,P0ACC9,0
A0A663DJA2,Q15181,1
P56976,P0AFT5,0
Q8TGT2,P53066,0
P77091,P76119,1
Q2EES1,P77280,0
Q47272,P64490,1
P0CX86,Q08560,0
P56976,P0A761,1
Q99380,P39704,0
Q3E7Z7,Q06244,0
P0CX86,P05740,1
P77494,P37344,0
P0CX86,Q06630,0
Q47272,P18390,1
Q99380,P50106,0
P0CX86,Q12003,0
Q3E7Z6,P32179,0
Q47272,P69506,1
Q3E813,P37262,0
Q3E789,P25337,0
Q7TFA1,P60880,1
P34166,P36088,0
Q7TFA1,Q7TFA1,1
P0CX86,P39718,0
Q3E789,Q9URQ3,0
Q3E7Z6,Q99382,0
Q99380,Q12178,0
P56976,P0A6W3,1
Q8TGU8,P32388,0
Q99380,Q03880,0
A0A663DJA2,P62995,1
P0ADB7,P0ACV6,0
P77091,P36943,0
Q7TFA0,Q9BRT2,1
P77091,P25536,1
Q99380,Q12000,0
Q8TGS2,P47174,0
P77091,P64503,1
P56976,P77682,1
P0CY04,Q04082,0
A0A663DJA2,P04406,1
P0CX86,P04650,1
Q3E801,Q9URQ3,0
P56976,P15031,0
Q8TGS6,P61830,0
P56976,P75948,1
P0CY04,P25385,0
Q7TFA1,P54710,1
Q8TGT8,P07143,0
Q3E7Z3,P53039,0
