Peptide,Protein,Y
9606.ENSP00000233143,9606.ENSP00000357283,0
9606.ENSP00000233143,9606.ENSP00000305919,0
9606.ENSP00000233143,9606.ENSP00000393978,0
9606.ENSP00000233143,9606.ENSP00000494750,0
9606.ENSP00000233143,9606.ENSP00000397552,0
9606.ENSP00000233143,9606.ENSP00000376345,0
9606.ENSP00000233143,9606.ENSP00000378416,1
9606.ENSP00000233143,9606.ENSP00000225655,0
9606.ENSP00000233143,9606.ENSP00000276603,0
9606.ENSP00000233143,9606.ENSP00000300086,0
9606.ENSP00000233143,9606.ENSP00000220003,0
9606.ENSP00000233143,9606.ENSP00000265970,0
9606.ENSP00000233143,9606.ENSP00000254322,0
9606.ENSP00000233143,9606.ENSP00000254301,0
9606.ENSP00000233143,9606.ENSP00000254942,0
9606.ENSP00000233143,9606.ENSP00000350249,0
9606.ENSP00000233143,9606.ENSP00000378058,0
9606.ENSP00000233143,9606.ENSP00000160382,0
9606.ENSP00000233143,9606.ENSP00000362680,0
9606.ENSP00000233143,9606.ENSP00000362135,0
9606.ENSP00000233143,9606.ENSP00000358081,0
9606.ENSP00000233143,9606.ENSP00000381607,1
9606.ENSP00000233143,9606.ENSP00000495563,0
9606.ENSP00000233143,9606.ENSP00000444357,0
9606.ENSP00000233143,9606.ENSP00000249700,0
9606.ENSP00000233143,9606.ENSP00000298229,0
9606.ENSP00000233143,9606.ENSP00000357979,0
9606.ENSP00000233143,9606.ENSP00000257787,0
9606.ENSP00000284856,9606.ENSP00000288235,0
9606.ENSP00000284856,9606.ENSP00000437738,0
9606.ENSP00000284856,9606.ENSP00000399751,0
9606.ENSP00000284856,9606.ENSP00000297591,0
9606.ENSP00000284856,9606.ENSP00000276603,0
9606.ENSP00000284856,9606.ENSP00000494750,1
9606.ENSP00000284856,9606.ENSP00000397552,0
9606.ENSP00000284856,9606.ENSP00000242848,0
9606.ENSP00000284856,9606.ENSP00000160382,0
9606.ENSP00000284856,9606.ENSP00000350249,0
9606.ENSP00000284856,9606.ENSP00000252542,0
9606.ENSP00000284856,9606.ENSP00000261167,0
9606.ENSP00000284856,9606.ENSP00000297579,0
9606.ENSP00000284856,9606.ENSP00000458162,1
9606.ENSP00000284856,9606.ENSP00000290231,0
9606.ENSP00000284856,9606.ENSP00000300086,0
9606.ENSP00000284856,9606.ENSP00000262043,0
9606.ENSP00000284856,9606.ENSP00000355645,0
9606.ENSP00000284856,9606.ENSP00000417464,0
9606.ENSP00000284856,9606.ENSP00000370010,1
9606.ENSP00000284856,9606.ENSP00000322937,0
9606.ENSP00000284856,9606.ENSP00000202816,0
9606.ENSP00000284856,9606.ENSP00000454545,0
9606.ENSP00000284856,9606.ENSP00000257181,0
9606.ENSP00000289373,9606.ENSP00000281031,0
9606.ENSP00000289373,9606.ENSP00000320309,0
9606.ENSP00000333887,9606.ENSP00000500386,0
9606.ENSP00000333887,9606.ENSP00000335493,0
9606.ENSP00000333887,9606.ENSP00000274811,0
9606.ENSP00000370010,9606.ENSP00000304643,0
