Peptide,Protein,Y
6239.ZK686.1.1,6239.C37H5.5.2,0
6239.Y59A8A.8.1,6239.Y65B4A.3.1,0
6239.ZK686.1.1,6239.D1007.12.1,1
6239.ZK686.1.1,6239.Y57G11C.16.1,1
6239.ZK686.1.1,6239.T01E8.6.1,0
6239.ZK686.1.1,6239.Y38F2AR.9.1,0
6239.ZK686.1.1,6239.F13G3.11.1,0
6239.ZK686.1.1,6239.Y62E10A.1.2,0
6239.ZK686.1.1,6239.C49H3.3.1,0
6239.R08C7.1.1,6239.F44E7.8b.1,0
6239.C35C5.9.2,6239.T07C4.6.1,0
6239.ZK686.1.1,6239.B0412.4.1,1
6239.Y59A8A.8.1,6239.Y65B4A.3.1,0
6239.R08C7.1.1,6239.F43C1.4.1,0
6239.ZK686.1.1,6239.Y48B6A.2.3,1
6239.ZK686.1.1,6239.F46B6.6a.1,0
6239.C06E1.5.1,6239.ZK1248.3a.1,1
6239.ZK686.1.1,6239.Y57G11C.16.1,1
6239.ZK686.1.1,6239.Y38F2AR.9.1,0
6239.ZK686.1.1,6239.C07E3.2.1,0
6239.ZK686.1.1,6239.F10E7.7.3,1
6239.ZK686.1.1,6239.Y48G8AL.8.1,0
6239.W09H1.2.1,6239.D2021.1a.1,0
6239.ZK686.1.1,6239.T12A2.2.1,0
6239.ZK686.1.1,6239.F28D1.8.1,0
6239.W09H1.2.1,6239.ZK973.1.1,0
6239.F13E9.3.1,6239.C45G9.7.1,0
6239.ZK686.1.1,6239.Y39B6A.33.1,0
6239.ZK686.1.1,6239.Y48B6A.2.3,1
6239.W09H1.2.1,6239.C03D6.5.1,0
6239.R08C7.1.1,6239.Y51A2D.17.1,0
6239.ZK686.1.1,6239.F10E7.7.3,1
6239.ZK686.1.1,6239.D1007.14.1,0
6239.ZK686.1.1,6239.K07A12.7.1,0
6239.ZK686.1.1,6239.Y73B3A.18a.1,0
6239.ZK686.1.1,6239.C03D6.8.1,1
6239.ZK686.1.1,6239.F55D10.2.1,0
6239.ZK686.1.1,6239.H06I04.4a.3,0
6239.ZK686.1.1,6239.F53F4.11.2,0
6239.ZK686.1.1,6239.ZK652.4.3,1
6239.ZK686.1.1,6239.K07A12.7.1,0
6239.ZK686.1.1,6239.Y24D9A.4a.1,0
6239.ZK686.1.1,6239.F56E10.4.1,1
6239.ZK686.1.1,6239.T07A9.9.2,0
6239.ZK686.1.1,6239.C09H10.10a.1,0
6239.ZK686.1.1,6239.C47B2.5.2,1
6239.ZK686.1.1,6239.F58B3.6.1,0
6239.ZK686.1.1,6239.C06B8.8.6,1
6239.ZK686.1.1,6239.R11D1.8.2,1
6239.ZK686.1.1,6239.F25H5.4a.3,1
6239.ZK686.1.1,6239.R74.6.1,0
6239.ZK686.1.1,6239.F34H10.1.1,0
6239.ZK686.1.1,6239.T19A6.2a.1,0
6239.ZK686.1.1,6239.Y45F10D.12.2,1
6239.ZK686.1.1,6239.T23B12.3.2,0
6239.ZK686.1.1,6239.Y57G11C.15a.1,0
6239.ZK686.1.1,6239.ZC434.5.2,0
6239.ZK686.1.1,6239.Y43B11AR.4.1,0
6239.ZK686.1.1,6239.F55F8.5.2,0
6239.ZK686.1.1,6239.C53H9.2a.1,0
6239.ZK686.1.1,6239.B0393.1.2,1
6239.ZK686.1.1,6239.W08E12.7.1,1
6239.ZK686.1.1,6239.W04D2.4.1,0
6239.ZK686.1.1,6239.F38A1.8.1,0
6239.ZK686.1.1,6239.K11H12.2.1,1
6239.ZK686.1.1,6239.F25H2.10.1,1
6239.W09H1.2.1,6239.C26C6.1a.1,0
6239.ZK686.1.1,6239.K12H4.3.1,0
6239.ZK686.1.1,6239.F44G4.2.1,0
6239.ZK686.1.1,6239.F44G4.1.1,0
6239.ZK686.1.1,6239.C23G10.3.1,1
6239.ZK686.1.1,6239.F33D4.5.1,0
6239.ZK686.1.1,6239.Y48G8AL.8.1,0
6239.ZK686.1.1,6239.K01C8.9.2,0
6239.ZK686.1.1,6239.Y48G9A.3.1,0
6239.Y48A6B.4.1,6239.F30F8.3.1,0
6239.ZK686.1.1,6239.W04D2.4.1,0
6239.ZK686.1.1,6239.F54C9.1.2,0
6239.ZK686.1.1,6239.C43E11.9.1,0
6239.ZK686.1.1,6239.C26F1.9.1,1
6239.ZK686.1.1,6239.C27A2.2a.1,1
6239.ZK686.1.1,6239.F21D5.7.1,0
6239.ZK686.1.1,6239.C16A3.4.2,0
6239.B0250.7b.1,6239.C25F6.2a.1,1
6239.ZK686.1.1,6239.Y57G11C.34.1,0
6239.C36A4.10.1,6239.R05F9.10.1,0
6239.R08C7.1.1,6239.F52F12.4.1,0
6239.ZK686.1.1,6239.F38A1.8.1,0
6239.ZK686.1.1,6239.E04A4.8.1,1
6239.ZK686.1.1,6239.R03D7.4.1,0
6239.ZK686.1.1,6239.Y37E3.8a.1,1
6239.ZK686.1.1,6239.T01C3.6.1,1
6239.R08C7.1.1,6239.F52F12.4.1,0
6239.ZK686.1.1,6239.H21P03.1.1,0
6239.ZK686.1.1,6239.F56D12.5a.2,1
6239.ZK686.1.1,6239.B0041.4.1,1
6239.Y59A8A.8.1,6239.C34G6.7a.1,0
6239.ZK686.1.1,6239.F10B5.1.2,1
6239.ZK686.1.1,6239.W09C5.1.1,1
6239.ZK686.1.1,6239.Y54E10A.10.2,0
6239.ZK686.1.1,6239.W09C5.6a.1,1
6239.ZK686.1.1,6239.C54C6.1.3,0
6239.F13E9.3.1,6239.C45G9.7.1,0
6239.ZK686.1.1,6239.Y39B6A.33.1,0
6239.ZK686.1.1,6239.F56E10.4.1,1
6239.ZK686.1.1,6239.Y57G11C.34.1,0
6239.ZK686.1.1,6239.K02B2.5.2,0
6239.ZK686.1.1,6239.F55C5.8.1,0
6239.ZK686.1.1,6239.C26F1.4.3,1
6239.ZK686.1.1,6239.Y54F10BM.2.1,0
6239.ZK686.1.1,6239.T05G5.10a.1,0
6239.B0302.2.1,6239.ZC449.7.1,0
6239.ZK686.1.1,6239.C42C1.14.1,1
6239.Y59A8A.8.1,6239.R10E12.1b.1,0
6239.ZK686.1.1,6239.C27A2.2a.1,1
6239.ZK686.1.1,6239.C37H5.5.2,0
6239.ZK686.1.1,6239.T03D8.2.1,0
6239.ZK686.1.1,6239.F55C5.8.1,0
6239.ZK686.1.1,6239.K04D7.1.3,0
6239.ZK686.1.1,6239.F40F8.10.1,1
6239.ZK686.1.1,6239.F59A3.3.1,0
6239.R08C7.1.1,6239.F49H12.1a.1,0
6239.ZK686.1.1,6239.C14B9.7.1,1
6239.ZK686.1.1,6239.K07A12.4a.1,0
6239.ZK686.1.1,6239.F56F3.5.2,1
6239.ZK686.1.1,6239.K01C8.9.2,0
6239.W09H1.2.1,6239.C26C6.1a.1,0
6239.Y48A6B.4.1,6239.T18D3.7a.1,1
6239.ZK686.1.1,6239.C49H3.11.1,1
6239.ZK686.1.1,6239.Y54F10BM.2.1,0
6239.ZK686.1.1,6239.ZK1058.4.2,0
6239.ZK686.1.1,6239.K02B2.4a.1,0
6239.ZK686.1.1,6239.F37C12.11.1,1
6239.ZK686.1.1,6239.Y24D9A.4a.1,0
6239.ZK686.1.1,6239.C04F12.4.2,1
6239.Y59A8A.8.1,6239.Y110A7A.2.1,0
6239.ZK686.1.1,6239.R13A5.12.1,0
6239.ZK686.1.1,6239.C47B2.5.2,1
6239.ZK686.1.1,6239.F42C5.8a.1,1
6239.ZK686.1.1,6239.C49H3.11.1,1
6239.ZK686.1.1,6239.Y92H12BR.8.1,0
6239.ZK686.1.1,6239.W01D2.1.3,0
6239.ZK686.1.1,6239.M01F1.2.2,1
6239.ZK686.1.1,6239.E02A10.1.1,0
6239.ZK686.1.1,6239.F37C12.9.2,1
6239.R08C7.1.1,6239.T06C12.6.1,0
6239.ZK686.1.1,6239.W07E6.1a.1,0
6239.ZK686.1.1,6239.F59A3.3.1,0
6239.ZK686.1.1,6239.T07A9.14.1,0
6239.ZK686.1.1,6239.T23F2.2b.1,0
6239.ZK686.1.1,6239.Y65B4BR.5b.1,0
6239.T11F9.14.1,6239.F58B6.3b.1,0
6239.ZK686.1.1,6239.C37A2.7.1,0
6239.ZK686.1.1,6239.F44G4.2.1,0
6239.ZK686.1.1,6239.C41D11.2.1,0
6239.ZK686.1.1,6239.K02B2.5.2,0
6239.ZK686.1.1,6239.Y38E10A.22a.1,0
6239.ZK686.1.1,6239.Y37D8A.18.1,0
6239.ZK686.1.1,6239.Y92H12BR.8.1,0
6239.ZK686.1.1,6239.D1007.14.1,0
6239.ZK686.1.1,6239.F34H10.1.1,0
6239.ZK686.1.1,6239.T05F1.1b.1,0
6239.ZK686.1.1,6239.Y73B3A.18a.1,0
6239.ZK686.1.1,6239.R03D7.4.1,0
6239.ZK686.1.1,6239.F55D10.2.1,0
6239.ZK686.1.1,6239.E04A4.8.1,1
6239.ZK686.1.1,6239.F42C5.8a.1,1
6239.ZK686.1.1,6239.Y41E3.4a.1,0
6239.ZK686.1.1,6239.Y48G8AL.7.1,0
6239.ZK686.1.1,6239.C18A3.3.1,0
