Peptide,Protein,Y
2569,4090,0
2570,4091,1
2571,4092,0
2572,4093,0
2573,4094,1
1815,3387,0
2574,4095,0
1892,4096,0
2575,4097,1
2576,4098,0
300,4099,0
522,3016,0
520,3163,0
1913,4100,0
473,3539,0
2577,2938,0
2113,4101,0
939,4102,0
2085,3829,0
172,3560,0
488,3149,0
2578,3052,0
2575,4103,1
2579,4104,0
1182,3445,0
2580,4105,1
2581,3500,0
2582,4106,1
1344,3138,0
2583,4107,0
1840,4027,0
1052,3029,0
617,4108,0
2584,4109,0
2585,3292,0
2586,4110,0
2587,4111,0
2588,4112,1
582,4113,0
2589,4114,0
2590,4115,0
2591,4116,0
2592,4117,1
2593,2972,0
2594,4118,0
2595,4119,0
1293,3213,0
2596,4120,0
2597,4121,0
22,3849,0
2592,4122,1
2598,2999,0
1879,4123,0
2599,4124,0
2600,4125,0
105,4126,0
1655,3829,0
1400,4127,0
13,2868,0
2601,4128,0
2602,4129,0
762,4130,0
1137,2999,0
2603,4131,0
2604,4132,0
714,4133,0
973,4134,0
2154,3602,0
1850,3447,0
2243,3680,0
2605,4135,1
2606,3520,0
2607,4136,0
497,4137,1
2608,4138,0
430,4139,0
2592,4140,1
2609,4109,1
2610,3669,0
2611,4141,1
2612,4142,0
629,4143,0
2318,4144,0
2613,3811,0
2614,4145,0
2615,4146,0
2616,4124,0
2617,3756,0
2618,4147,0
1055,4148,0
1420,3620,0
2619,3979,0
2620,2891,0
1519,4149,0
2621,4150,0
2622,2861,0
2623,4151,0
2620,4152,0
1636,4153,0
2624,3905,0
2625,4154,0
2626,3517,0
2627,3475,0
2628,3986,0
2629,4155,1
2630,3312,0
2588,4156,1
2631,3577,0
2198,4157,0
2632,4092,0
2633,4158,0
2634,3803,0
2635,4159,0
2636,3252,0
2637,4160,1
2638,4161,0
1293,3730,0
2639,4162,1
2640,3498,0
2641,4163,0
1333,3305,0
2642,4164,0
2643,4165,1
2644,4166,0
2645,3832,0
2646,4167,0
497,4168,1
877,4169,0
595,4170,0
2093,3972,0
2647,4171,1
2648,4172,0
2649,4173,0
2650,4174,0
576,4175,0
2651,3491,0
2652,3186,0
1681,3192,0
2653,3881,0
1655,4176,0
2571,4177,0
209,3313,0
2654,2914,0
455,3440,0
2655,4178,0
2656,4179,0
925,4005,0
2089,3399,0
2570,4180,1
2657,4181,0
1280,4182,0
2205,3033,0
157,3872,0
2658,4183,0
1708,4184,0
2659,4185,1
2660,3305,0
1919,4186,0
2661,4187,0
2662,3175,0
2406,4188,0
652,2936,0
2663,4189,0
515,4190,0
2664,3759,0
1110,3428,0
1802,4191,0
497,4192,1
2628,4193,0
2583,4194,0
798,4195,0
2665,3036,0
2666,4196,0
2667,4197,1
2668,3218,0
1872,3085,0
2669,4198,0
739,4199,0
79,2933,0
2670,4200,0
458,4201,0
649,4202,0
2671,3735,0
1640,3436,0
1592,3378,0
2672,4203,0
582,4204,0
676,4205,0
2673,4206,0
2292,3308,0
2629,4207,1
2674,2978,0
2161,4208,0
2675,2916,0
2294,4209,0
2676,4117,1
164,4210,0
1365,4211,0
2677,3321,0
2119,4212,0
2678,4213,1
2679,4214,0
2680,4215,0
2681,4216,1
1017,3706,0
2682,4217,0
704,3687,0
2683,4218,1
2684,4219,0
884,4220,0
2685,4221,1
1671,4222,0
2686,4223,1
2687,4224,0
2637,4225,1
2688,4226,0
762,4227,0
2689,4228,0
2690,4229,0
1557,3306,0
1703,4230,0
2691,4117,1
2692,4231,0
288,4227,0
2609,4232,0
2693,4233,1
2694,3228,0
514,4120,0
2695,4234,0
2696,1179,0
2697,3037,0
948,2858,0
2698,3733,0
364,4235,0
431,4236,0
1892,4208,0
692,4237,0
641,3495,0
2699,3680,0
1030,4238,0
1516,3519,0
2700,4239,0
1721,3021,0
2701,3778,0
655,4240,0
2702,3466,0
2703,4241,0
2656,3517,0
2591,4242,0
2704,4243,0
1358,2942,0
2705,4244,0
1604,3178,0
1046,4245,0
2706,3384,0
2707,3194,0
2629,4246,1
2691,4247,1
1885,4248,0
2708,4249,1
56,4250,0
2676,4251,1
1648,4252,0
92,4204,0
2139,3132,0
2709,4253,0
2710,4254,1
742,4255,0
1330,3967,0
2711,2928,0
2712,3848,0
2713,3719,0
1537,4256,0
2638,3137,0
2623,3881,0
277,3833,0
213,3188,0
2294,3313,0
1003,3138,0
1967,3488,0
2168,3500,0
2714,4117,1
486,4257,0
887,3504,0
2715,4258,0
192,3432,0
2716,3326,0
1852,3123,0
1553,3438,0
1975,2916,0
2717,4259,0
2718,4260,0
13,4261,0
2719,4262,1
2570,3432,0
2720,3783,0
388,4263,0
633,4264,0
1394,3372,0
2477,4265,0
2721,3920,0
369,3832,0
2645,4266,0
2710,4267,1
1095,4268,0
1994,4269,0
2722,4270,0
2723,4251,1
2724,3319,0
2725,3228,0
2726,3135,0
2727,4271,1
2723,4117,1
230,4272,1
2728,4273,0
2714,4274,1
2729,4275,1
2730,4131,0
2731,2864,0
266,4253,0
2732,4276,0
2611,4277,1
2733,3335,0
2734,4278,0
2064,3217,0
2735,4279,0
2685,4278,1
2736,4280,0
333,4281,0
2279,4282,0
1792,4283,0
1392,4284,0
1299,4285,0
914,4286,0
2737,4287,0
1674,3305,0
2738,2899,0
2739,4288,0
196,4289,0
2740,4221,0
1846,4290,0
1773,3020,0
2741,4291,0
2742,4292,1
2605,4293,1
2708,4294,1
2153,4295,0
2743,4296,0
2744,4028,0
2745,2939,0
2746,4275,0
2747,3339,0
2748,3226,0
2644,4297,0
805,3880,0
2640,4298,1
2749,2852,0
2750,2933,0
2271,4299,0
1517,3465,0
2751,4300,1
2686,4301,1
2752,4302,0
741,4303,0
2753,4304,0
2754,4103,1
2755,4305,0
2619,3987,0
2756,4306,0
1622,4307,0
2757,2982,0
2758,3947,0
2759,3517,0
2760,3260,0
2761,3385,0
2762,4221,1
2763,3527,0
2580,4308,1
514,4309,0
2764,4310,0
2765,2896,0
2592,4251,1
2710,4311,1
1553,4312,0
2766,4313,0
1135,4314,0
192,3447,0
2767,3380,0
2573,4106,1
1534,3665,0
2768,4315,0
1512,4316,0
1004,3170,0
2769,2961,0
2770,4210,0
2069,4317,0
2771,3540,0
1318,3714,0
2772,3082,0
2773,2908,0
2629,4318,1
2774,4319,0
2775,4320,0
2582,4094,1
1118,4321,0
2776,4322,0
2777,4323,1
2778,4324,0
2779,3282,0
2678,4325,1
2780,4301,0
