Peptide,Protein,Y
1,2850,1
2,2851,1
3,2852,1
4,2852,1
5,2853,1
6,2852,1
7,2854,1
8,2855,1
9,2855,1
10,2852,1
11,2856,1
12,2852,1
13,2852,1
14,2852,1
15,2857,1
16,2858,1
17,2859,1
18,2860,1
19,2857,1
20,2861,1
21,2862,1
22,2863,1
23,2864,1
24,2865,1
25,2866,1
26,2852,1
27,2867,1
28,2868,1
29,2852,1
30,2852,1
31,2869,1
32,2870,1
33,2871,1
34,2872,1
35,2873,1
36,2874,1
37,2875,1
38,2876,1
39,2852,1
40,2852,1
41,2852,1
42,2852,1
43,2877,1
8,2878,1
18,2879,1
44,2880,1
45,2880,1
46,2859,1
47,2881,1
48,2882,1
49,2880,1
50,2883,1
51,2884,1
52,2885,1
53,2886,1
54,2887,1
55,2888,1
56,2889,1
57,2889,1
58,2889,1
59,2889,1
60,2890,1
61,2891,1
61,2892,1
62,2893,1
63,2852,1
64,2852,1
65,2894,1
66,2895,1
67,2896,1
68,2897,1
69,2898,1
70,2899,1
71,2900,1
72,2901,1
72,2902,1
73,2903,1
74,2904,1
75,2852,1
76,2852,1
77,2852,1
78,2905,1
79,2906,1
80,2907,1
81,2907,1
82,2908,1
83,2908,1
84,2909,1
85,2909,1
86,2910,1
87,2852,1
88,2911,1
89,2858,1
90,2912,1
91,2913,1
92,2914,1
93,2915,1
94,2916,1
95,2917,1
96,2918,1
97,2919,1
98,2920,1
99,2921,1
100,2922,1
100,2923,1
101,2924,1
102,2884,1
103,2919,1
104,2925,1
105,2926,1
106,2927,1
107,2928,1
108,2929,1
108,2930,1
109,2931,1
110,2931,1
111,2932,1
112,2933,1
113,2933,1
32,2934,1
46,2934,1
114,2895,1
115,2935,1
116,2852,1
117,2936,1
118,2937,1
119,2916,1
120,2938,1
121,2938,1
122,2938,1
123,2855,1
124,2855,1
125,2855,1
126,2855,1
127,2855,1
128,2939,1
129,2911,1
130,2911,1
131,2940,1
132,2940,1
133,2941,1
134,2942,1
135,2852,1
136,2858,1
137,2858,1
138,2943,1
139,2943,1
140,2852,1
141,2852,1
142,2944,1
143,2945,1
144,2946,1
145,2852,1
146,2947,1
147,2948,1
148,2948,1
149,2949,1
150,2852,1
65,2950,1
151,2859,1
152,2951,1
153,2952,1
154,2953,1
155,2852,1
156,2954,1
157,2955,1
158,2956,1
159,2880,1
160,2957,1
161,2958,1
162,2880,1
163,2959,1
164,2959,1
165,2960,1
166,2884,1
167,2961,1
168,2962,1
169,2962,1
170,2962,1
171,2962,1
172,2860,1
173,2897,1
174,2891,1
175,2891,1
176,2963,1
177,2963,1
178,2964,1
179,2859,1
180,2965,1
181,2966,1
182,2967,1
183,2968,1
184,2969,1
185,2970,1
186,2971,1
187,2972,1
188,2972,1
189,2973,1
190,2973,1
69,2974,1
191,2975,1
192,2976,1
193,2977,1
194,2978,1
195,2918,1
196,2918,1
197,2918,1
198,2918,1
199,2979,1
200,2980,1
201,2981,1
202,2961,1
203,2982,1
204,2982,1
205,2983,1
206,2940,1
207,2984,1
208,2985,1
209,2880,1
210,2986,1
211,2934,1
212,2987,1
212,2988,1
213,2989,1
214,2934,1
215,2973,1
216,2973,1
217,2868,1
218,2990,1
219,2991,1
220,2992,1
221,2993,1
222,2993,1
223,2993,1
224,2994,1
225,2995,1
226,2996,1
227,2859,1
228,2997,1
229,2961,1
230,2998,1
231,2928,1
56,2999,1
232,2858,1
233,2943,1
234,3000,1
235,3001,1
236,3002,1
206,2930,1
237,2896,1
238,2966,1
239,3003,1
240,3004,1
241,3005,1
113,3006,1
242,3007,1
243,2880,1
244,3008,1
245,2852,1
246,3009,1
247,2976,1
108,3010,1
248,2974,1
249,2852,1
250,3011,1
251,3012,1
252,2880,1
253,3013,1
254,3013,1
255,3014,1
256,3014,1
257,3014,1
258,3015,1
259,3016,1
260,3017,1
261,2939,1
262,3018,1
263,3018,1
264,3019,1
265,3019,1
266,3020,1
267,2966,1
268,2871,1
269,3021,1
270,3021,1
271,3022,1
3,3023,1
272,3023,1
273,3011,1
274,3024,1
275,3024,1
276,3025,1
277,3026,1
278,2916,1
279,2855,1
280,3027,1
117,3027,1
281,3027,1
282,2852,1
283,2996,1
284,2938,1
285,2938,1
286,3028,1
108,3029,1
287,2852,1
288,2998,1
289,2940,1
290,3030,1
291,3030,1
292,3031,1
293,2869,1
294,3032,1
295,3033,1
296,3034,1
297,2931,1
298,3035,1
299,3036,1
300,2862,1
301,3037,1
302,3038,1
303,2963,1
182,3039,1
182,3040,1
182,3041,1
182,3042,1
182,3043,1
304,3044,1
304,3045,1
305,3044,1
305,3045,1
306,3044,1
306,3045,1
307,3044,1
307,3045,1
308,3044,1
308,3045,1
309,2891,1
310,3046,1
311,3046,1
312,3047,1
313,2943,1
314,3048,1
315,2859,1
316,3049,1
317,2943,1
318,2890,1
319,2852,1
320,3050,1
321,3051,1
322,2973,1
323,3020,1
324,3020,1
325,3020,1
326,3052,1
327,3053,1
328,2997,1
329,2884,1
330,2884,1
331,2884,1
332,2884,1
333,2884,1
334,2884,1
335,2930,1
336,2851,1
337,2871,1
338,3054,1
339,3055,1
340,2957,1
341,2854,1
2,3056,1
342,3057,1
343,3058,1
344,3059,1
345,2967,1
346,2859,1
347,2852,1
348,2916,1
349,3060,1
350,2963,1
351,2916,1
352,3061,1
353,3062,1
234,2972,1
354,3063,1
355,2916,1
356,3064,1
357,3065,1
358,3066,1
359,2972,1
3,2973,1
360,2884,1
361,2884,1
362,2884,1
363,2884,1
18,3067,1
364,2880,1
365,3068,1
366,3069,1
367,2852,1
368,3070,1
369,3070,1
206,3070,1
370,3071,1
371,3071,1
372,3071,1
373,3071,1
374,3072,1
375,3071,1
376,3071,1
377,3071,1
378,2972,1
379,2972,1
380,2972,1
381,2852,1
382,2972,1
383,2972,1
384,3073,1
385,2972,1
386,2852,1
387,3074,1
388,2891,1
389,2891,1
388,3003,1
61,3003,1
390,3003,1
391,3003,1
392,3003,1
393,2961,1
394,2852,1
395,3005,1
396,2918,1
397,3075,1
398,2852,1
399,3076,1
400,3076,1
401,2961,1
402,2961,1
403,2961,1
404,2858,1
405,3077,1
406,3078,1
407,2903,1
408,2903,1
409,2903,1
410,3021,1
411,3079,1
412,2859,1
412,2966,1
413,3018,1
414,3080,1
415,2889,1
416,3081,1
417,3082,1
417,3083,1
418,3082,1
418,3083,1
419,3082,1
419,3083,1
420,3082,1
420,3083,1
421,2912,1
345,3039,1
345,3040,1
345,3041,1
345,3042,1
345,3043,1
422,3084,1
423,3085,1
424,3086,1
424,3087,1
424,3088,1
424,3089,1
34,3090,1
425,3091,1
426,2852,1
427,2852,1
428,3092,1
429,3093,1
430,3093,1
431,2852,1
432,2859,1
433,2861,1
434,3094,1
435,3094,1
286,3095,1
436,3096,1
437,3097,1
438,3097,1
439,3098,1
440,2966,1
440,2859,1
441,3069,1
442,2973,1
443,3099,1
444,3100,1
445,3101,1
446,3102,1
447,2859,1
448,2943,1
449,3103,1
450,3104,1
451,3105,1
452,3106,1
453,3012,1
454,3107,1
455,2940,1
456,3108,1
328,3109,1
457,3085,1
458,3108,1
459,2916,1
460,3110,1
461,2852,1
462,2852,1
463,3111,1
464,3107,1
465,3112,1
466,3107,1
467,3113,1
468,3021,1
469,3114,1
470,3115,1
471,3116,1
472,2924,1
473,2941,1
473,3021,1
474,2859,1
475,3117,1
476,3118,1
477,3093,1
478,3119,1
417,3120,1
418,3120,1
419,3120,1
420,3120,1
479,3121,1
480,3122,1
481,2972,1
482,3123,1
483,3124,1
484,3125,1
485,3126,1
417,3127,1
418,3127,1
419,3127,1
420,3127,1
286,3128,1
264,3129,1
264,3130,1
265,3129,1
265,3130,1
56,3131,1
486,2880,1
487,3017,1
488,3132,1
489,3132,1
490,2933,1
491,3133,1
492,2918,1
493,2972,1
494,2880,1
292,3134,1
495,2929,1
496,3135,1
497,3136,1
498,3136,1
499,3136,1
500,3136,1
501,3137,1
502,3138,1
503,2980,1
504,2855,1
505,3139,1
506,2972,1
507,3140,1
508,3140,1
509,3141,1
510,2859,1
511,2929,1
512,2859,1
513,2859,1
514,2859,1
515,3142,1
516,2943,1
517,3143,1
518,3143,1
519,3143,1
520,3074,1
521,3144,1
272,2852,1
192,3145,1
522,2893,1
523,2929,1
524,3146,1
525,2852,1
526,3147,1
527,2880,1
528,3148,1
529,3027,1
530,3149,1
531,3057,1
532,3150,1
533,3151,1
534,3152,1
535,3153,1
536,3154,1
537,3155,1
538,3156,1
538,3157,1
539,3158,1
540,3159,1
541,3160,1
542,3160,1
543,3136,1
544,3161,1
545,3108,1
546,2940,1
547,2940,1
548,3162,1
549,3163,1
550,2939,1
551,3164,1
552,2919,1
553,2880,1
554,3165,1
555,3166,1
237,3166,1
556,2880,1
557,3167,1
558,3168,1
559,3168,1
560,3168,1
561,3167,1
562,2996,1
551,3169,1
563,3170,1
564,2880,1
565,3168,1
566,3171,1
567,3171,1
568,3171,1
569,3172,1
569,3173,1
570,3172,1
570,3173,1
571,2880,1
502,3174,1
572,2880,1
573,3175,1
574,2880,1
575,3176,1
576,2880,1
577,3177,1
578,2880,1
579,3178,1
580,2996,1
557,3179,1
1,3180,1
581,2996,1
582,3181,1
583,3122,1
584,2981,1
585,3182,1
586,3183,1
511,3076,1
587,3151,1
588,3184,1
589,2851,1
590,3010,1
591,2916,1
592,3185,1
593,3038,1
594,3186,1
90,3187,1
595,2851,1
596,3188,1
597,3188,1
598,3189,1
599,3189,1
600,3181,1
601,3181,1
602,3190,1
603,3191,1
604,3192,1
605,2981,1
606,3188,1
607,2999,1
608,3193,1
609,3066,1
610,2972,1
611,3066,1
612,3194,1
613,2852,1
614,3195,1
615,3070,1
616,3196,1
617,3196,1
502,3197,1
618,3198,1
557,3199,1
619,3200,1
620,3201,1
621,3070,1
292,3188,1
622,3188,1
623,2933,1
624,3202,1
625,3203,1
502,3204,1
626,3205,1
627,3206,1
628,3207,1
629,2906,1
630,3208,1
631,3038,1
632,3209,1
633,3210,1
634,3211,1
635,3212,1
636,2880,1
637,3213,1
638,3214,1
639,3215,1
640,3216,1
641,3141,1
642,3217,1
551,3134,1
643,3218,1
644,3219,1
557,3220,1
645,2894,1
646,3221,1
459,3221,1
647,2927,1
648,3222,1
649,3222,1
650,3223,1
651,3224,1
652,3066,1
653,3225,1
551,3226,1
654,3226,1
655,3226,1
554,3226,1
656,3226,1
657,3226,1
658,3227,1
659,3227,1
80,3228,1
660,2880,1
661,3229,1
662,3229,1
663,3229,1
664,3229,1
665,3105,1
666,3230,1
667,2982,1
668,2982,1
669,3231,1
670,3232,1
557,3197,1
671,3233,1
672,3234,1
673,3234,1
674,3234,1
675,3234,1
676,3234,1
677,2936,1
678,3235,1
679,3235,1
680,3108,1
681,3020,1
682,3236,1
683,3149,1
684,3149,1
685,2880,1
686,3149,1
687,3149,1
688,3149,1
689,3228,1
690,3136,1
691,3136,1
692,3136,1
693,3184,1
694,3237,1
695,3238,1
696,3239,1
697,3136,1
698,2941,1
699,3240,1
272,3241,1
700,3241,1
701,3238,1
702,3242,1
703,3222,1
704,3118,1
705,2859,1
706,2859,1
707,2859,1
708,3243,1
709,3244,1
56,3245,1
710,3246,1
711,3247,1
711,3248,1
712,3249,1
713,3249,1
714,3250,1
682,3250,1
715,3218,1
65,3251,1
716,2901,1
716,2902,1
717,2980,1
718,3237,1
719,3252,1
720,3253,1
721,3253,1
722,2916,1
723,3254,1
724,2942,1
725,3255,1
726,2942,1
727,2921,1
728,3222,1
729,2880,1
730,3256,1
731,3257,1
732,3257,1
733,3258,1
734,3255,1
735,3259,1
736,3188,1
737,3260,1
738,3260,1
739,3260,1
740,3261,1
741,3076,1
742,3262,1
743,3263,1
744,3264,1
745,3265,1
746,3266,1
747,3126,1
748,3070,1
56,3267,1
749,2957,1
750,3268,1
751,3269,1
752,3270,1
753,3270,1
253,3271,1
254,3271,1
754,3271,1
253,3272,1
253,3273,1
253,3274,1
253,3275,1
253,3276,1
253,3277,1
254,3272,1
254,3273,1
254,3274,1
254,3275,1
254,3276,1
254,3277,1
755,3278,1
756,3279,1
757,3280,1
758,2934,1
759,3281,1
759,3282,1
759,3283,1
760,3281,1
760,3282,1
760,3283,1
761,3281,1
761,3282,1
761,3283,1
762,3281,1
762,3282,1
762,3283,1
763,3284,1
764,3284,1
765,3284,1
766,3284,1
767,3284,1
768,3284,1
164,3284,1
769,3284,1
770,3284,1
771,3285,1
772,3286,1
206,3287,1
773,3288,1
773,3289,1
774,3288,1
775,3289,1
776,3126,1
777,3228,1
778,3290,1
779,3291,1
780,3174,1
781,3292,1
782,3292,1
783,3292,1
784,3292,1
785,3292,1
786,3292,1
787,3292,1
788,2949,1
789,3292,1
790,3292,1
791,3292,1
792,3292,1
793,3292,1
794,3293,1
795,2929,1
796,3294,1
797,3294,1
798,3295,1
799,3295,1
800,2852,1
801,3296,1
802,2859,1
803,2859,1
804,3297,1
805,3298,1
806,2998,1
807,3299,1
808,3300,1
