Peptide,Protein,Y
hsm-100,hsm-8373,1
hsm-196,hsm-8373,1
hsm-286,hsm-8373,1
hsm-296,hsm-8373,1
hsm-423,hsm-8373,1
hsm-569,hsm-8373,1
hsm-707,hsm-8373,1
hsm-780,hsm-8373,1
hsm-1037,hsm-8373,1
hsm-1126,hsm-8373,1
hsm-1303,hsm-8373,1
hsm-1361,hsm-8373,1
hsm-1465,hsm-8373,1
hsm-1542,hsm-8373,1
hsm-2179,hsm-8373,1
hsm-2273,hsm-8373,1
hsm-2773,hsm-8373,1
hsm-2791,hsm-8373,1
hsm-2808,hsm-8373,1
hsm-2815,hsm-8373,1
hsm-2823,hsm-8373,1
hsm-2867,hsm-8373,1
hsm-2890,hsm-8373,1
hsm-3325,hsm-8373,1
hsm-3362,hsm-8373,1
hsm-3363,hsm-8373,1
hsm-3400,hsm-8373,1
hsm-3401,hsm-8373,1
hsm-3406,hsm-8373,1
hsm-3407,hsm-8373,1
hsm-3424,hsm-8373,1
hsm-3453,hsm-8373,1
hsm-3465,hsm-8373,1
hsm-3473,hsm-8373,1
hsm-3507,hsm-8373,1
hsm-3582,hsm-8373,1
hsm-3604,hsm-8373,1
hsm-3619,hsm-8373,1
hsm-3802,hsm-8373,1
hsm-3860,hsm-8373,1
hsm-3891,hsm-8373,1
hsm-3922,hsm-8373,1
hsm-3934,hsm-8373,1
hsm-3936,hsm-8373,1
hsm-4054,hsm-8373,1
hsm-4076,hsm-8373,1
hsm-4100,hsm-8373,1
hsm-4103,hsm-8373,1
hsm-4304,hsm-8373,1
hsm-4434,hsm-8373,1
hsm-4518,hsm-8373,1
hsm-4556,hsm-8373,1
hsm-4632,hsm-8373,1
hsm-4636,hsm-8373,1
hsm-4637,hsm-8373,1
hsm-4657,hsm-8373,1
hsm-4723,hsm-8373,1
hsm-4746,hsm-8373,1
hsm-4755,hsm-8373,1
hsm-4793,hsm-8373,1
hsm-4804,hsm-8373,1
hsm-4821,hsm-8373,1
hsm-4855,hsm-8373,1
hsm-4923,hsm-8373,1
hsm-4926,hsm-8373,1
hsm-4958,hsm-8373,1
hsm-5015,hsm-8373,1
hsm-5160,hsm-8373,1
hsm-5215,hsm-8373,1
hsm-5258,hsm-8373,1
hsm-5292,hsm-8373,1
hsm-5869,hsm-8373,1
hsm-5983,hsm-8373,1
hsm-5984,hsm-8373,1
hsm-5993,hsm-8373,1
hsm-6000,hsm-8373,1
hsm-6220,hsm-8373,1
hsm-6225,hsm-8373,1
hsm-6288,hsm-8373,1
hsm-6299,hsm-8373,1
hsm-6509,hsm-8373,1
hsm-6513,hsm-8373,1
hsm-6547,hsm-8373,1
hsm-6581,hsm-8373,1
hsm-6698,hsm-8373,1
hsm-6729,hsm-8373,1
hsm-6970,hsm-8373,1
hsm-7044,hsm-8373,1
hsm-7219,hsm-8373,1
hsm-7333,hsm-8373,1
hsm-7340,hsm-8373,1
hsm-7366,hsm-8373,1
hsm-7412,hsm-8373,1
hsm-7500,hsm-8373,1
hsm-7562,hsm-8373,1
hsm-7582,hsm-8373,1
hsm-7611,hsm-8373,1
hsm-7630,hsm-8373,1
hsm-7635,hsm-8373,1
hsm-7650,hsm-8373,1
hsm-7667,hsm-8373,1
hsm-13,hsm-8374,1
hsm-7672,hsm-8374,1
hsm-100,hsm-8374,1
hsm-196,hsm-8374,1
hsm-7674,hsm-8374,1
hsm-7675,hsm-8374,1
hsm-286,hsm-8374,1
hsm-296,hsm-8374,1
hsm-7676,hsm-8374,1
hsm-423,hsm-8374,1
hsm-569,hsm-8374,1
hsm-7679,hsm-8374,1
hsm-707,hsm-8374,1
hsm-7680,hsm-8374,1
hsm-817,hsm-8374,1
hsm-7682,hsm-8374,1
hsm-7685,hsm-8374,1
hsm-1037,hsm-8374,1
hsm-7688,hsm-8374,1
hsm-7689,hsm-8374,1
hsm-1303,hsm-8374,1
hsm-7691,hsm-8374,1
hsm-1361,hsm-8374,1
hsm-7692,hsm-8374,1
hsm-7693,hsm-8374,1
hsm-7696,hsm-8374,1
hsm-1542,hsm-8374,1
hsm-7701,hsm-8374,1
hsm-1808,hsm-8374,1
hsm-7702,hsm-8374,1
hsm-7703,hsm-8374,1
hsm-7705,hsm-8374,1
hsm-7708,hsm-8374,1
hsm-2179,hsm-8374,1
hsm-2773,hsm-8374,1
hsm-2808,hsm-8374,1
hsm-7713,hsm-8374,1
hsm-7714,hsm-8374,1
hsm-2815,hsm-8374,1
hsm-2823,hsm-8374,1
hsm-2867,hsm-8374,1
hsm-7715,hsm-8374,1
hsm-7718,hsm-8374,1
hsm-3325,hsm-8374,1
hsm-3353,hsm-8374,1
hsm-3362,hsm-8374,1
hsm-3363,hsm-8374,1
hsm-3400,hsm-8374,1
hsm-3401,hsm-8374,1
hsm-3406,hsm-8374,1
hsm-3407,hsm-8374,1
hsm-3424,hsm-8374,1
hsm-3453,hsm-8374,1
hsm-7723,hsm-8374,1
hsm-3465,hsm-8374,1
hsm-7725,hsm-8374,1
hsm-7726,hsm-8374,1
hsm-3507,hsm-8374,1
hsm-3581,hsm-8374,1
hsm-3582,hsm-8374,1
hsm-3604,hsm-8374,1
hsm-7730,hsm-8374,1
hsm-3802,hsm-8374,1
hsm-3860,hsm-8374,1
hsm-3891,hsm-8374,1
hsm-3922,hsm-8374,1
hsm-3934,hsm-8374,1
hsm-3936,hsm-8374,1
hsm-3937,hsm-8374,1
hsm-7733,hsm-8374,1
hsm-7734,hsm-8374,1
hsm-7735,hsm-8374,1
hsm-7736,hsm-8374,1
hsm-7739,hsm-8374,1
hsm-4076,hsm-8374,1
hsm-4100,hsm-8374,1
hsm-4169,hsm-8374,1
hsm-4289,hsm-8374,1
hsm-4304,hsm-8374,1
hsm-7740,hsm-8374,1
hsm-7741,hsm-8374,1
hsm-4434,hsm-8374,1
hsm-4524,hsm-8374,1
hsm-4632,hsm-8374,1
hsm-4636,hsm-8374,1
hsm-4637,hsm-8374,1
hsm-4723,hsm-8374,1
hsm-4793,hsm-8374,1
hsm-4804,hsm-8374,1
hsm-4923,hsm-8374,1
hsm-4925,hsm-8374,1
hsm-4926,hsm-8374,1
hsm-4941,hsm-8374,1
hsm-4958,hsm-8374,1
hsm-7751,hsm-8374,1
hsm-5015,hsm-8374,1
hsm-7752,hsm-8374,1
hsm-7754,hsm-8374,1
hsm-5215,hsm-8374,1
hsm-7756,hsm-8374,1
hsm-5258,hsm-8374,1
hsm-7757,hsm-8374,1
hsm-7759,hsm-8374,1
hsm-5869,hsm-8374,1
hsm-5983,hsm-8374,1
hsm-5993,hsm-8374,1
hsm-6000,hsm-8374,1
hsm-6055,hsm-8374,1
hsm-7762,hsm-8374,1
hsm-7764,hsm-8374,1
hsm-6220,hsm-8374,1
hsm-7765,hsm-8374,1
hsm-6288,hsm-8374,1
hsm-6299,hsm-8374,1
hsm-7767,hsm-8374,1
hsm-6509,hsm-8374,1
hsm-6513,hsm-8374,1
hsm-6547,hsm-8374,1
hsm-7768,hsm-8374,1
hsm-6581,hsm-8374,1
hsm-6582,hsm-8374,1
hsm-6729,hsm-8374,1
hsm-6874,hsm-8374,1
hsm-6970,hsm-8374,1
hsm-7044,hsm-8374,1
hsm-7088,hsm-8374,1
hsm-7772,hsm-8374,1
hsm-7773,hsm-8374,1
hsm-7219,hsm-8374,1
hsm-7304,hsm-8374,1
hsm-7775,hsm-8374,1
hsm-7776,hsm-8374,1
hsm-7333,hsm-8374,1
hsm-7777,hsm-8374,1
hsm-7567,hsm-8374,1
hsm-7582,hsm-8374,1
hsm-7589,hsm-8374,1
hsm-7782,hsm-8374,1
hsm-7783,hsm-8374,1
hsm-7630,hsm-8374,1
hsm-7635,hsm-8374,1
hsm-7784,hsm-8374,1
hsm-7785,hsm-8374,1
hsm-7650,hsm-8374,1
hsm-7667,hsm-8374,1
hsm-135,hsm-8375,1
hsm-158,hsm-8375,1
hsm-196,hsm-8375,1
hsm-285,hsm-8375,1
hsm-396,hsm-8375,1
hsm-422,hsm-8375,1
hsm-475,hsm-8375,1
hsm-551,hsm-8375,1
hsm-569,hsm-8375,1
hsm-610,hsm-8375,1
hsm-7679,hsm-8375,1
hsm-617,hsm-8375,1
hsm-636,hsm-8375,1
hsm-722,hsm-8375,1
hsm-7792,hsm-8375,1
hsm-761,hsm-8375,1
hsm-780,hsm-8375,1
hsm-860,hsm-8375,1
hsm-902,hsm-8375,1
hsm-966,hsm-8375,1
hsm-992,hsm-8375,1
hsm-1115,hsm-8375,1
hsm-1126,hsm-8375,1
hsm-1284,hsm-8375,1
hsm-1303,hsm-8375,1
hsm-1315,hsm-8375,1
hsm-1568,hsm-8375,1
hsm-1688,hsm-8375,1
hsm-1721,hsm-8375,1
hsm-1722,hsm-8375,1
hsm-1808,hsm-8375,1
hsm-1833,hsm-8375,1
hsm-1919,hsm-8375,1
hsm-1928,hsm-8375,1
hsm-2082,hsm-8375,1
hsm-7708,hsm-8375,1
hsm-2118,hsm-8375,1
hsm-7799,hsm-8375,1
hsm-2269,hsm-8375,1
hsm-2320,hsm-8375,1
hsm-2388,hsm-8375,1
hsm-7711,hsm-8375,1
hsm-2568,hsm-8375,1
hsm-2608,hsm-8375,1
hsm-2660,hsm-8375,1
hsm-2708,hsm-8375,1
hsm-2727,hsm-8375,1
hsm-2734,hsm-8375,1
hsm-2753,hsm-8375,1
hsm-2779,hsm-8375,1
hsm-2791,hsm-8375,1
hsm-7713,hsm-8375,1
hsm-2841,hsm-8375,1
hsm-2858,hsm-8375,1
hsm-2868,hsm-8375,1
