Peptide,Protein,Y
hsm-8056,hsm-8447,0
hsm-7890,hsm-8443,1
hsm-8247,hsm-8443,1
hsm-8119,hsm-8455,1
hsm-7843,hsm-8454,1
hsm-8065,hsm-8443,0
hsm-8140,hsm-8450,1
hsm-8291,hsm-8443,0
hsm-7952,hsm-8456,1
hsm-8183,hsm-8455,0
hsm-8179,hsm-8453,1
hsm-8115,hsm-8454,1
hsm-7843,hsm-8455,1
hsm-8223,hsm-8453,1
hsm-8262,hsm-8456,0
hsm-8370,hsm-8445,1
hsm-8189,hsm-8446,0
hsm-7952,hsm-8457,1
hsm-8201,hsm-8458,1
hsm-8034,hsm-8451,0
hsm-8079,hsm-8458,0
hsm-7938,hsm-8455,0
hsm-8247,hsm-8448,1
hsm-7868,hsm-8453,0
hsm-8104,hsm-8442,1
hsm-8097,hsm-8444,0
hsm-8369,hsm-8445,1
hsm-8025,hsm-8443,1
hsm-8131,hsm-8446,0
hsm-8345,hsm-8457,0
hsm-8011,hsm-8448,1
hsm-8071,hsm-8450,0
hsm-8283,hsm-8455,1
hsm-8055,hsm-8442,0
hsm-8341,hsm-8450,1
hsm-7863,hsm-8442,0
hsm-8249,hsm-8446,1
hsm-7913,hsm-8448,0
hsm-8027,hsm-8453,1
hsm-8232,hsm-8457,1
hsm-8285,hsm-8447,0
hsm-7902,hsm-8458,1
hsm-7994,hsm-8446,0
hsm-8108,hsm-8456,1
hsm-8363,hsm-8450,1
hsm-7834,hsm-8458,0
hsm-7902,hsm-8443,1
hsm-8331,hsm-8443,0
hsm-8143,hsm-8452,0
hsm-7927,hsm-8443,1
hsm-8164,hsm-8455,0
hsm-7831,hsm-8452,1
hsm-8291,hsm-8450,1
hsm-8179,hsm-8444,0
hsm-8107,hsm-8458,1
hsm-8119,hsm-8450,1
hsm-8201,hsm-8452,1
hsm-8352,hsm-8442,1
hsm-8274,hsm-8453,1
hsm-8138,hsm-8442,1
hsm-8160,hsm-8442,0
hsm-8008,hsm-8450,1
hsm-8223,hsm-8452,1
hsm-7851,hsm-8447,0
hsm-7972,hsm-8450,1
hsm-8201,hsm-8443,1
hsm-8026,hsm-8446,1
hsm-8312,hsm-8456,0
hsm-7890,hsm-8450,1
hsm-8179,hsm-8450,0
hsm-7916,hsm-8444,0
hsm-7841,hsm-8455,1
hsm-8131,hsm-8456,0
hsm-7987,hsm-8451,1
hsm-8094,hsm-8453,0
hsm-7862,hsm-8454,0
hsm-8138,hsm-8449,0
hsm-8253,hsm-8456,1
hsm-8226,hsm-8451,0
hsm-7890,hsm-8457,1
hsm-8002,hsm-8447,0
hsm-7839,hsm-8444,0
hsm-7907,hsm-8449,0
hsm-8027,hsm-8455,1
hsm-8149,hsm-8446,1
hsm-7946,hsm-8456,0
hsm-8307,hsm-8448,0
hsm-7995,hsm-8450,0
hsm-8360,hsm-8453,1
hsm-8097,hsm-8457,0
hsm-8119,hsm-8454,1
hsm-8058,hsm-8444,0
hsm-8348,hsm-8443,0
hsm-8073,hsm-8442,0
hsm-8142,hsm-8444,0
