Peptide,Protein,Y
5ff6-CP,5ff6-protein,1
4abi-CP,3rqd-protein,0
7pdz-CP,1vwc-protein,0
4zks-CP,6y0u-protein,0
6ulv-CP,4kel-protein,0
5wgq-CP,3pmp-protein,0
1jbu-CP,1jbu-protein,1
3avg-CP,3avg-protein,1
1cwh-CP,1cwh-protein,1
6u6k-CP,6u6k-protein,1
6dn8-CP,6dn8-protein,1
7k2h-CP,7k2h-protein,1
7k2h-CP,4w4z-protein,0
5dk0-CP,4w4z-protein,0
3wbn-CP,3wbn-protein,1
6bvh-CP,6bvh-protein,1
6j8e-CP,6j8e-protein,1
1qnh-CP,1qnh-protein,1
2axi-CP,2axi-protein,1
7pm7-CP,7pm7-protein,1
6c0y-CP,6c0y-protein,1
5lrj-CP,3wdc-protein,0
5nf0-CP,5nf0-protein,1
5afg-CP,5afg-protein,1
6zrd-CP,6zrd-protein,1
3avb-CP,3avb-protein,1
6yw1-CP,6yw1-protein,1
7k2r-CP,7k2r-protein,1
3mt6-CP,6p81-protein,0
5wgd-CP,5wgd-protein,1
2oju-CP,6z13-protein,0
5co5-CP,5co5-protein,1
5djd-CP,5djd-protein,1
4ez1-CP,4zhm-protein,0
1fjm-CP,3e7a-protein,0
6ayn-CP,6ayn-protein,1
6wi3-CP,6wi3-protein,1
1hxl-CP,7k2p-protein,0
5euk-CP,5vi6-protein,0
2rmb-CP,1b6j-protein,0
7k2l-CP,7k2l-protein,1
3wne-CP,4ktu-protein,0
2bcd-CP,5wxq-protein,0
7k2q-CP,7k2q-protein,1
2byp-CP,2byp-protein,1
4os2-CP,5c3g-protein,0
5eoc-CP,1cwm-protein,0
3avk-CP,4gly-protein,0
4z0e-CP,7pm8-protein,0
7oc2-CP,1vwc-protein,0
6xbe-CP,6nnv-protein,0
1cwb-CP,1cwb-protein,1
7s5g-CP,5tu6-protein,0
4mzk-CP,4mzk-protein,1
6xie-CP,6xie-protein,1
7pml-CP,7pml-protein,1
3n7y-CP,3n7y-protein,1
5ah2-CP,5ah2-protein,1
7n43-CP,7n43-protein,1
6xib-CP,6xib-protein,1
4yv9-CP,3wnf-protein,0
4gw5-CP,4z0f-protein,0
6xbf-CP,6xbf-protein,1
6yw3-CP,3wne-protein,0
7oc2-CP,7oc2-protein,1
7mso-CP,7mso-protein,1
1bm2-CP,1bm2-protein,1
6xid-CP,1cwk-protein,0
3avh-CP,3avm-protein,0
1cwj-CP,4ipz-protein,0
5vz2-CP,5vz2-protein,1
5tu6-CP,5wxq-protein,0
3g5v-CP,7p1g-protein,0
5vz2-CP,6bvh-protein,0
5dxe-CP,4gw1-protein,0
5i8m-CP,4kts-protein,0
4k1e-CP,5dk0-protein,0
6yw3-CP,6yw3-protein,1
1tmb-CP,1vwm-protein,0
2bcd-CP,5nes-protein,0
5zjz-CP,5zjz-protein,1
5w5s-CP,7pme-protein,0
5djx-CP,5djx-protein,1
3av9-CP,3av9-protein,1
4kts-CP,4kts-protein,1
7k2g-CP,5lrg-protein,0
7kh0-CP,7kh0-protein,1
3ava-CP,1t7d-protein,0
7fer-CP,7fer-protein,1
6c1r-CP,6c1r-protein,1
4gvu-CP,4gvu-protein,1
6hzc-CP,1vwr-protein,0
6u8h-CP,5jme-protein,0
6xic-CP,6xic-protein,1
6d8c-CP,6who-protein,0
3odi-CP,5xco-protein,0
6j8e-CP,3qn7-protein,0
3oy5-CP,5wgd-protein,0
1hqq-CP,2axi-protein,0
5ly1-CP,6j8e-protein,0
6d3y-CP,6d3y-protein,1
4wvu-CP,4wvu-protein,1
6u8h-CP,1cwk-protein,0
6nnv-CP,6nnv-protein,1
6u71-CP,6u71-protein,1
3s04-CP,4xoj-protein,0
3avm-CP,3avm-protein,1
5afg-CP,6ulv-protein,0
4x9w-CP,4x9w-protein,1
6bae-CP,3wbn-protein,0
1bck-CP,2br8-protein,0
2rmc-CP,2rmc-protein,1
5wxq-CP,5wxq-protein,1
4gly-CP,4gly-protein,1
5zml-CP,5zml-protein,1
6u8i-CP,6u8i-protein,1
6yw3-CP,5vb9-protein,0
4gw5-CP,4gw5-protein,1
4os5-CP,4os5-protein,1
1qng-CP,1qng-protein,1
4gw1-CP,6zcd-protein,0
4zkn-CP,4zkn-protein,1
6hza-CP,6hza-protein,1
4mzk-CP,4os1-protein,0
4w4z-CP,4w4z-protein,1
6nnv-CP,1vwk-protein,0
4ioi-CP,4ioi-protein,1
4x0w-CP,4x0w-protein,1
1cwa-CP,1cwa-protein,1
